insee,nom,segment,source,region,dept
75056,Paris,grande_ville,seed_100,,75
13055,Marseille,grande_ville,seed_100,,13
69123,Lyon,grande_ville,seed_100,,69
31555,Toulouse,grande_ville,seed_100,Occitanie,31
06088,Nice,grande_ville,seed_100,Provence-Alpes-Côte d'Azur,06
44109,Nantes,grande_ville,seed_100,Pays de la Loire,44
34172,Montpellier,grande_ville,seed_100,Occitanie,34
67482,Strasbourg,grande_ville,seed_100,Grand Est,67
33063,Bordeaux,grande_ville,seed_100,Nouvelle-Aquitaine,33
59350,Lille,grande_ville,seed_100,Hauts-de-France,59
35238,Rennes,grande_ville,seed_100,Bretagne,35
51454,Reims,grande_ville,seed_100,Grand Est,51
42218,Saint-Etienne,grande_ville,seed_100,Auvergne-Rhône-Alpes,42
76351,Le Havre,industrielle_portuaire,seed_100,Normandie,76
76540,Rouen,industrielle_portuaire,seed_100,Normandie,76
13039,Fos-sur-Mer,industrielle_portuaire,seed_100,Provence-Alpes-Côte d'Azur,13
13056,Martigues,industrielle_portuaire,seed_100,Provence-Alpes-Côte d'Azur,13
69276,Feyzin,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,69
69149,Oullins-Pierre-Benite,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,69
69199,Saint-Fons,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,69
44052,Donges,industrielle_portuaire,seed_100,Pays de la Loire,44
59183,Dunkerque,industrielle_portuaire,seed_100,Hauts-de-France,59
62193,Calais,industrielle_portuaire,seed_100,Hauts-de-France,62
64445,Pau,industrielle_portuaire,seed_100,Nouvelle-Aquitaine,64
64300,Lacq,industrielle_portuaire,seed_100,Nouvelle-Aquitaine,64
76305,Gonfreville-l'Orcher,industrielle_portuaire,seed_100,Normandie,76
57672,Thionville,industrielle_portuaire,seed_100,Grand Est,57
57221,Florange,industrielle_portuaire,seed_100,Grand Est,57
57306,Hayange,industrielle_portuaire,seed_100,Grand Est,57
38185,Grenoble,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,38
38544,Vienne,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,38
69266,Villeurbanne,industrielle_portuaire,seed_100,Auvergne-Rhône-Alpes,69
93066,Saint-Denis,industrielle_portuaire,seed_100,Île-de-France,93
17300,La Rochelle,littorale,seed_100,Nouvelle-Aquitaine,17
56121,Lorient,littorale,seed_100,Bretagne,56
29019,Brest,littorale,seed_100,Bretagne,29
35288,Saint-Malo,littorale,seed_100,Bretagne,35
44184,Saint-Nazaire,littorale,seed_100,Pays de la Loire,44
85194,Les Sables-d'Olonne,littorale,seed_100,Pays de la Loire,85
34301,Sete,littorale,seed_100,Occitanie,34
66136,Perpignan,littorale,seed_100,Occitanie,66
83069,Hyeres,littorale,seed_100,Provence-Alpes-Côte d'Azur,83
83137,Toulon,littorale,seed_100,Provence-Alpes-Côte d'Azur,83
06029,Cannes,littorale,seed_100,Provence-Alpes-Côte d'Azur,06
06004,Antibes,littorale,seed_100,Provence-Alpes-Côte d'Azur,06
2A004,Ajaccio,littorale,seed_100,Corse,2A
2B033,Bastia,littorale,seed_100,Corse,2B
97411,Saint-Denis,littorale,seed_100,,97
97105,Baie-Mahault,littorale,seed_100,,97
97209,Fort-de-France,littorale,seed_100,,97
21231,Dijon,ville_moyenne,seed_100,Bourgogne-Franche-Comté,21
25056,Besancon,ville_moyenne,seed_100,Bourgogne-Franche-Comté,25
30189,Nimes,ville_moyenne,seed_100,Occitanie,30
37261,Tours,ville_moyenne,seed_100,Centre-Val de Loire,37
45234,Orleans,ville_moyenne,seed_100,Centre-Val de Loire,45
49007,Angers,ville_moyenne,seed_100,Pays de la Loire,49
57463,Metz,ville_moyenne,seed_100,Grand Est,57
54395,Nancy,ville_moyenne,seed_100,Grand Est,54
59512,Roubaix,ville_moyenne,seed_100,Hauts-de-France,59
59599,Tourcoing,ville_moyenne,seed_100,Hauts-de-France,59
63113,Clermont-Ferrand,ville_moyenne,seed_100,Auvergne-Rhône-Alpes,63
68066,Colmar,ville_moyenne,seed_100,Grand Est,68
68224,Mulhouse,ville_moyenne,seed_100,Grand Est,68
72181,Le Mans,ville_moyenne,seed_100,Pays de la Loire,72
76217,Dieppe,littorale,seed_100,Normandie,76
80021,Amiens,ville_moyenne,seed_100,Hauts-de-France,80
86194,Poitiers,ville_moyenne,seed_100,Nouvelle-Aquitaine,86
87085,Limoges,ville_moyenne,seed_100,Nouvelle-Aquitaine,87
92012,Boulogne-Billancourt,grande_ville,seed_100,Île-de-France,92
92050,Nanterre,grande_ville,seed_100,Île-de-France,92
93008,Bobigny,grande_ville,seed_100,Île-de-France,93
01053,Bourg-en-Bresse,ville_moyenne,seed_100,Auvergne-Rhône-Alpes,01
03190,Moulins,rurale_calme,seed_100,Auvergne-Rhône-Alpes,03
05061,Gap,ville_moyenne,seed_100,Provence-Alpes-Côte d'Azur,05
07010,Annonay,ville_moyenne,seed_100,Auvergne-Rhône-Alpes,07
08105,Charleville-Mezieres,ville_moyenne,seed_100,Grand Est,08
11069,Carcassonne,ville_moyenne,seed_100,Occitanie,11
